scenario,swath_corr_x,swath_corr_y,swath_corr_z,risk_width_mt,predictive_score
combined_base,0.5106182206425915,0.6292982690097232,0.4154999132056236,1.7708625,0.3545351087303754
fresh_base,0.33940636703422883,0.657324419606652,0.21861180665030538,1.9419345,-0.510077677081383
combined_var_alt,0.5233874457281834,0.6286493737962783,0.4176588191781433,2.2787325,-0.18602912245264797
fresh_var_alt,0.3195147013848653,0.666298555919019,0.2150277436265385,2.37897,-0.9610298154950272
combined_nb_alt,0.5248587818933106,0.6514316852649578,0.41405790683482113,1.879119,0.5222647206296721
fresh_nb_alt,0.3478011890320713,0.6938431970554381,0.21933636583632582,2.0381625,-0.17148547325512714
combined_trend_off,0.5812950741334569,0.6604058742919067,0.2926936850183741,1.806948,0.5187442946138098
fresh_trend_off,0.4816652823462793,0.6833675404565032,0.2342370051117178,1.742796,0.43307796431033024
